"","","","","","","","","","","",""
"","Imports, CIF from Partner Countries","","","","","","","","","",""
"","","","","","","","","","","",""
"","World","","","","","","","","","",""
"","US Dollars, Millions","","","","","","","","","",""
"","","","","","","","","","","",""
"","Curaçao, Kingdom of the Netherlands","6.04","156.55","175.21","508.36","535.51","324.87","899.74","399.27","398.47","283.86"
"","Dominica","128.16","174.11","169.77","169.73","169.12","172.86","146.39","109.84","77.11","58.18"
"","Dominican Rep.","5,983.86","6,798.63","7,517.83","8,249.66","9,012.32","8,509.75","9,016.26","8,990.65","9,565.39","10,369.23"
"","Ecuador","19,051.37","23,468.56","26,685.03","27,972.00","27,995.74","20,426.74","17,941.92","20,007.88","22,689.57","24,399.16"
"","El Salvador","4,562.90","5,580.37","5,564.29","5,517.36","5,275.05","5,609.97","5,495.91","5,915.47","6,060.09","5,778.18"
"","Falkland Islands (Malvinas)","173.76","184.71","208.51","189.39","201.07","196.84","277.34","208.61","293.28","315.50"
"","Greenland","598.48","713.65","702.62","762.26","732.52","771.60","888.73","982.20","1,046.16","1,259.09"
"","Grenada","59.67","85.17","67.12","80.92","71.37","41.81","37.88","61.11","70.38","39.18"
"","Guatemala","8,654.05","11,182.86","10,818.03","10,604.09","11,116.97","11,302.54","10,936.79","11,696.65","11,343.00","11,225.21"
"","Guyana","1,111.12","1,448.55","1,677.48","1,520.04","1,566.46","1,315.68","1,569.28","1,583.32","1,576.17","1,485.16"
"","Haiti","693.68","866.00","922.40","1,010.00","1,077.34","1,148.27","1,110.80","1,137.43","1,232.53","1,347.46"
"","Honduras","6,770.86","8,220.66","8,566.07","8,295.60","8,590.30","8,545.96","8,284.56","8,712.95","9,354.73","9,716.22"
"","Jamaica","1,135.75","1,578.57","1,369.22","1,311.20","1,286.18","1,286.41","1,048.49","1,207.69","1,507.97","1,462.55"
"","Mexico","316,906.67","371,193.43","395,991.57","399,639.46","413,276.93","403,451.05","402,051.81","435,200.68","481,189.40","490,718.55"
"","Montserrat","3.45","1.17","0.92","1.07","1.73","2.26","3.26","20.43","6.52","6.90"
"","Netherlands Antilles","3,067.76","4,251.86","3,412.50","2,394.13","1,982.48","1,059.56","862.37","1,275.46","936.26","606.21"
"","Nicaragua","3,542.81","4,651.97","5,102.26","5,397.59","5,732.10","5,561.05","5,706.85","5,517.11","5,836.87","6,122.21"
"","Panama","7,121.30","9,271.69","9,279.33","9,161.22","7,917.13","7,266.88","6,563.98","7,287.46","7,034.26","6,497.10"
"","Paraguay","4,773.06","5,966.44","5,684.89","7,675.91","7,888.29","6,172.93","6,741.12","6,895.45","7,450.56","6,593.01"
"","Peru","33,106.22","43,204.14","47,839.97","45,299.26","40,969.92","35,528.68","37,416.28","45,557.17","50,142.64","49,534.22"
"","Sint Maarten, Kingdom of the Netherlands","0.04","2.72","0.13","10.99","31.32","22.29","55.40","120.72","108.54","251.74"
"","St. Kitts and Nevis","86.09","99.62","104.64","119.98","134.26","119.69","93.43","134.95","103.35","83.44"
"","St. Lucia","99.51","68.13","119.26","121.42","217.12","179.31","157.10","122.72","110.89","129.96"
"","St. Vincent and the Grenadines","155.76","112.91","78.24","80.65","162.33","109.19","298.58","221.03","179.83","191.02"
"","Suriname","1,860.46","2,192.65","2,830.97","2,454.33","2,279.60","1,853.69","1,516.20","2,185.36","2,379.55","2,814.62"
"","Trinidad and Tobago","14,885.14","19,894.13","19,963.28","19,691.27","19,106.04","12,852.88","8,754.30","10,484.65","13,174.81","11,549.08"
"","Uruguay","8,827.88","10,220.54","11,021.98","11,255.67","11,494.95","10,040.67","9,050.41","10,149.98","10,234.83","10,010.14"
"","Venezuela, Rep. Bolivariana de","62,832.96","81,991.52","85,814.16","79,185.10","71,110.45","38,188.83","29,189.88","32,492.73","35,264.60","17,154.96"
"","Western Hemisphere not specified","10,642.97","9,783.03","15,424.86","18,452.39","10,518.63","8,107.52","7,118.50","4,705.00","5,161.21","3,344.66"
"","Emerging and Developing Europe","957,014.28","1,198,181.97","1,222,058.45","1,232,800.98","1,222,282.71","986,188.78","948,075.51","1,099,994.60","1,255,212.37","1,243,605.62"
"","Middle East and Central Asia","1,082,090.68","1,410,967.25","1,530,918.46","1,465,434.72","1,372,919.82","902,748.49","800,813.70","964,398.29","1,187,770.41","1,100,202.13"
"","Afghanistan, Islamic Rep. of","568.20","648.15","866.76","829.27","935.06","930.79","1,122.84","1,052.00","1,273.69","2,362.31"
"","Algeria","58,544.73","72,353.43","72,016.43","65,115.04","60,743.07","36,425.37","29,825.66","34,602.39","42,289.67","37,261.68"
"","Armenia, Rep. of","835.88","1,130.93","1,248.71","1,339.15","1,472.71","1,398.69","1,817.69","2,120.17","2,441.05","2,969.87"
"","Azerbaijan, Rep. of","23,174.99","32,847.78","28,969.37","29,849.07","27,556.85","17,261.13","12,994.09","18,108.05","21,099.76","18,136.72"
"","Bahrain, Kingdom of","9,227.86","10,840.59","12,797.55","11,789.06","13,064.17","8,900.53","7,655.65","10,502.19","14,137.04","16,881.16"
"","Djibouti","142.85","163.87","181.29","160.89","191.24","209.67","225.36","270.69","281.57","225.25"
